plan_id,participant_id,money_type_code,investment_code,balance,units,as_of_date
PLN-R001,R1032,MATCH,F02,816.32,81.5,2026-06-30
PLN-R001,R1033,PRETAX,F01,1429.33,142.5,2026-06-30
PLN-R001,R1033,MATCH,F02,829.33,82.5,2026-06-30
PLN-R001,R1034,PRETAX,F01,1442.34,144.5,2026-06-30
PLN-R001,R1034,MATCH,F02,842.34,84.5,2026-06-30
PLN-R001,R1035,PRETAX,F01,1455.35,145.5,2026-06-30
PLN-R001,R1035,MATCH,F02,855.35,85.5,2026-06-30
PLN-R001,R1036,PRETAX,F01,1468.36,146.5,2026-06-30
PLN-R001,R1036,MATCH,F02,868.36,86.5,2026-06-30
PLN-R001,R1037,PRETAX,F01,1481.37,148.5,2026-06-30
PLN-R001,R1037,MATCH,F02,881.37,88.5,2026-06-30
PLN-R001,R1038,PRETAX,F01,1494.38,149.5,2026-06-30
PLN-R001,R1038,MATCH,F02,894.38,89.5,2026-06-30
PLN-R001,R1039,PRETAX,F01,1507.39,150.5,2026-06-30
PLN-R001,R1039,MATCH,F02,907.39,90.5,2026-06-30
PLN-R001,R1040,PRETAX,F01,1520.40,152.5,2026-06-30
PLN-R001,R1040,MATCH,F02,920.40,92.5,2026-06-30
PLN-R001,R1041,PRETAX,F01,1533.41,153.5,2026-06-30
PLN-R001,R1041,MATCH,F02,933.41,93.5,2026-06-30
PLN-R001,R1042,PRETAX,F01,1546.42,154.5,2026-06-30
PLN-R001,R1042,MATCH,F02,946.42,94.5,2026-06-30
PLN-R001,R1043,PRETAX,F01,1559.43,155.5,2026-06-30
PLN-R001,R1043,MATCH,F02,959.43,95.5,2026-06-30
PLN-R001,R1044,PRETAX,F01,1572.44,157.5,2026-06-30
PLN-R001,R1044,MATCH,F02,972.44,97.5,2026-06-30
PLN-R001,R1045,PRETAX,F01,1585.45,158.5,2026-06-30
PLN-R001,R1045,MATCH,F02,985.45,98.5,2026-06-30
PLN-R001,R1046,PRETAX,F01,1598.46,159.5,2026-06-30
PLN-R001,R1046,MATCH,F02,998.46,99.5,2026-06-30
PLN-R001,R1047,PRETAX,F01,1611.47,161.5,2026-06-30
PLN-R001,R1047,MATCH,F02,1011.47,101.5,2026-06-30
PLN-R001,R1048,PRETAX,F01,1624.48,162.5,2026-06-30
PLN-R001,R1048,MATCH,F02,1024.48,102.5,2026-06-30
PLN-R001,R1049,PRETAX,F01,1637.49,163.5,2026-06-30
PLN-R001,R1049,MATCH,F02,1037.49,103.5,2026-06-30
PLN-R001,R1050,PRETAX,F01,1650.50,165.5,2026-06-30
PLN-R001,R1050,MATCH,F02,1050.50,105.5,2026-06-30
PLN-R001,R1051,PRETAX,F01,1663.51,166.5,2026-06-30
PLN-R001,R1051,MATCH,F02,1063.51,106.5,2026-06-30
PLN-R001,R1052,PRETAX,F01,1676.52,167.5,2026-06-30
PLN-R001,R1052,MATCH,F02,1076.52,107.5,2026-06-30
PLN-R001,R1053,PRETAX,F01,1689.53,168.5,2026-06-30
PLN-R001,R1053,MATCH,F02,1089.53,108.5,2026-06-30
PLN-R001,R1054,PRETAX,F01,1702.54,170.5,2026-06-30
PLN-R001,R1054,MATCH,F02,1102.54,110.5,2026-06-30
PLN-R001,R1055,PRETAX,F01,1715.55,171.5,2026-06-30
PLN-R001,R1055,MATCH,F02,1115.55,111.5,2026-06-30
PLN-R001,R1056,PRETAX,F01,1728.56,172.5,2026-06-30
PLN-R001,R1056,MATCH,F02,1128.56,112.5,2026-06-30
PLN-R001,R1057,PRETAX,F01,1741.57,174.5,2026-06-30
PLN-R001,R1057,MATCH,F02,1141.57,114.5,2026-06-30
PLN-R001,R1058,PRETAX,F01,1754.58,175.5,2026-06-30
PLN-R001,R1058,MATCH,F02,1154.58,115.5,2026-06-30
PLN-R001,R1059,PRETAX,F01,1767.59,176.5,2026-06-30
PLN-R001,R1059,MATCH,F02,1167.59,116.5,2026-06-30
PLN-R001,R1060,PRETAX,F01,1780.60,178.5,2026-06-30
PLN-R001,R1060,MATCH,F02,1180.60,118.5,2026-06-30
PLN-R002,R2001,PRETAX,F01,1013.01,101.5,2026-06-30
PLN-R002,R2001,MATCH,F02,413.01,41.5,2026-06-30
PLN-R002,R2002,PRETAX,F01,1026.02,102.5,2026-06-30
PLN-R002,R2002,MATCH,F02,426.02,42.5,2026-06-30
PLN-R002,R2003,PRETAX,F01,1039.03,103.5,2026-06-30
PLN-R002,R2003,MATCH,F02,439.03,43.5,2026-06-30
PLN-R002,R2004,PRETAX,F01,1052.04,105.5,2026-06-30
PLN-R002,R2004,MATCH,F02,452.04,45.5,2026-06-30
PLN-R002,R2005,PRETAX,F01,1065.05,106.5,2026-06-30
PLN-R002,R2005,MATCH,F02,465.05,46.5,2026-06-30
PLN-R002,R2006,PRETAX,F01,1078.06,107.5,2026-06-30
PLN-R002,R2006,MATCH,F02,478.06,47.5,2026-06-30
PLN-R002,R2007,PRETAX,F01,1091.07,109.5,2026-06-30
PLN-R002,R2007,MATCH,F02,491.07,49.5,2026-06-30
PLN-R002,R2008,PRETAX,F01,1104.08,110.5,2026-06-30
PLN-R002,R2008,MATCH,F02,504.08,50.5,2026-06-30
PLN-R002,R2009,PRETAX,F01,1117.09,111.5,2026-06-30
PLN-R002,R2009,MATCH,F02,517.09,51.5,2026-06-30
PLN-R002,R2010,PRETAX,F01,1130.10,113.5,2026-06-30
PLN-R002,R2010,MATCH,F02,530.10,53.5,2026-06-30
PLN-R002,R2011,PRETAX,F01,1143.11,114.5,2026-06-30
PLN-R002,R2011,MATCH,F02,543.11,54.5,2026-06-30
PLN-R002,R2012,PRETAX,F01,1156.12,115.5,2026-06-30
PLN-R002,R2012,MATCH,F02,556.12,55.5,2026-06-30
PLN-R002,R2013,PRETAX,F01,1169.13,116.5,2026-06-30
PLN-R002,R2013,MATCH,F02,569.13,56.5,2026-06-30
PLN-R002,R2014,PRETAX,F01,1182.14,118.5,2026-06-30
PLN-R002,R2014,MATCH,F02,582.14,58.5,2026-06-30
PLN-R002,R2015,PRETAX,F01,1195.15,119.5,2026-06-30
PLN-R002,R2015,MATCH,F02,595.15,59.5,2026-06-30
PLN-R002,R2016,PRETAX,F01,1208.16,120.5,2026-06-30
PLN-R002,R2016,MATCH,F02,608.16,60.5,2026-06-30
PLN-R002,R2017,PRETAX,F01,1221.17,122.5,2026-06-30
PLN-R002,R2017,MATCH,F02,621.17,62.5,2026-06-30
PLN-R002,R2018,PRETAX,F01,1234.18,123.5,2026-06-30
PLN-R002,R2018,MATCH,F02,634.18,63.5,2026-06-30
PLN-R002,R2019,PRETAX,F01,1247.19,124.5,2026-06-30
PLN-R002,R2019,MATCH,F02,647.19,64.5,2026-06-30
PLN-R002,R2020,PRETAX,F01,1260.20,126.5,2026-06-30
PLN-R002,R2020,MATCH,F02,660.20,66.5,2026-06-30
PLN-R002,R2021,PRETAX,F01,1273.21,127.5,2026-06-30
PLN-R002,R2021,MATCH,F02,673.21,67.5,2026-06-30
PLN-R002,R2022,PRETAX,F01,1286.22,128.5,2026-06-30
PLN-R002,R2022,MATCH,F02,686.22,68.5,2026-06-30
PLN-R002,R2023,PRETAX,F01,1299.23,129.5,2026-06-30
PLN-R002,R2023,MATCH,F02,699.23,69.5,2026-06-30
PLN-R002,R2024,PRETAX,F01,1312.24,131.5,2026-06-30
PLN-R002,R2024,MATCH,F02,712.24,71.5,2026-06-30
PLN-R002,R2025,PRETAX,F01,1325.25,132.5,2026-06-30
PLN-R002,R2025,MATCH,F02,725.25,72.5,2026-06-30
PLN-R002,R2026,PRETAX,F01,1338.26,133.5,2026-06-30
PLN-R002,R2026,MATCH,F02,738.26,73.5,2026-06-30
PLN-R002,R2027,PRETAX,F01,1351.27,135.5,2026-06-30
PLN-R002,R2027,MATCH,F02,751.27,75.5,2026-06-30
PLN-R002,R2028,PRETAX,F01,1364.28,136.5,2026-06-30
PLN-R002,R2028,MATCH,F02,764.28,76.5,2026-06-30
PLN-R002,R2029,PRETAX,F01,1377.29,137.5,2026-06-30
PLN-R002,R2029,MATCH,F02,777.29,77.5,2026-06-30
PLN-R002,R2030,PRETAX,F01,1390.30,139.5,2026-06-30
PLN-R002,R2030,MATCH,F02,790.30,79.5,2026-06-30
PLN-R002,R2031,PRETAX,F01,1403.31,140.5,2026-06-30
PLN-R002,R2031,MATCH,F02,803.31,80.5,2026-06-30
PLN-R002,R2032,PRETAX,F01,1416.32,141.5,2026-06-30
PLN-R002,R2032,MATCH,F02,816.32,81.5,2026-06-30
PLN-R002,R2033,PRETAX,F01,1429.33,142.5,2026-06-30
PLN-R002,R2033,MATCH,F02,829.33,82.5,2026-06-30
PLN-R002,R2034,PRETAX,F01,1442.34,144.5,2026-06-30
PLN-R002,R2034,MATCH,F02,842.34,84.5,2026-06-30
PLN-R002,R2035,PRETAX,F01,1455.35,145.5,2026-06-30
PLN-R002,R2035,MATCH,F02,855.35,85.5,2026-06-30
PLN-R002,R2036,PRETAX,F01,1468.36,146.5,2026-06-30
PLN-R002,R2036,MATCH,F02,868.36,86.5,2026-06-30
PLN-R002,R2037,PRETAX,F01,1481.37,148.5,2026-06-30
PLN-R002,R2037,MATCH,F02,881.37,88.5,2026-06-30
PLN-R002,R2038,PRETAX,F01,1494.38,149.5,2026-06-30
PLN-R002,R2038,MATCH,F02,894.38,89.5,2026-06-30
PLN-R002,R2039,PRETAX,F01,1507.39,150.5,2026-06-30
PLN-R002,R2039,MATCH,F02,907.39,90.5,2026-06-30
PLN-R002,R2040,PRETAX,F01,1520.40,152.5,2026-06-30
PLN-R002,R2040,MATCH,F02,920.40,92.5,2026-06-30
PLN-R002,R2041,PRETAX,F01,1533.41,153.5,2026-06-30
PLN-R002,R2041,MATCH,F02,933.41,93.5,2026-06-30
PLN-R002,R2042,PRETAX,F01,1546.42,154.5,2026-06-30
PLN-R002,R2042,MATCH,F02,946.42,94.5,2026-06-30
PLN-R002,R2043,PRETAX,F01,1559.43,155.5,2026-06-30
PLN-R002,R2043,MATCH,F02,959.43,95.5,2026-06-30
PLN-R002,R2044,PRETAX,F01,1572.44,157.5,2026-06-30
PLN-R002,R2044,MATCH,F02,972.44,97.5,2026-06-30
PLN-R002,R2045,PRETAX,F01,1585.45,158.5,2026-06-30
PLN-R002,R2045,MATCH,F02,985.45,98.5,2026-06-30
PLN-R002,R2046,PRETAX,F01,1598.46,159.5,2026-06-30
PLN-R002,R2046,MATCH,F02,998.46,99.5,2026-06-30
PLN-R002,R2047,PRETAX,F01,1611.47,161.5,2026-06-30
PLN-R002,R2047,MATCH,F02,1011.47,101.5,2026-06-30
PLN-R002,R2048,PRETAX,F01,1624.48,162.5,2026-06-30
PLN-R002,R2048,MATCH,F02,1024.48,102.5,2026-06-30
PLN-R002,R2049,PRETAX,F01,1637.49,163.5,2026-06-30
PLN-R002,R2049,MATCH,F02,1037.49,103.5,2026-06-30
PLN-R002,R2050,PRETAX,F01,1650.50,165.5,2026-06-30
PLN-R002,R2050,MATCH,F02,1050.50,105.5,2026-06-30
PLN-R002,R2051,PRETAX,F01,1663.51,166.5,2026-06-30
PLN-R002,R2051,MATCH,F02,1063.51,106.5,2026-06-30
PLN-R002,R2052,PRETAX,F01,1676.52,167.5,2026-06-30
PLN-R002,R2052,MATCH,F02,1076.52,107.5,2026-06-30
PLN-R002,R2053,PRETAX,F01,1689.53,168.5,2026-06-30
PLN-R002,R2053,MATCH,F02,1089.53,108.5,2026-06-30
PLN-R002,R2054,PRETAX,F01,1702.54,170.5,2026-06-30
PLN-R002,R2054,MATCH,F02,1102.54,110.5,2026-06-30
PLN-R002,R2055,PRETAX,F01,1715.55,171.5,2026-06-30
PLN-R002,R2055,MATCH,F02,1115.55,111.5,2026-06-30
PLN-R002,R2056,PRETAX,F01,1728.56,172.5,2026-06-30
PLN-R002,R2056,MATCH,F02,1128.56,112.5,2026-06-30
PLN-R002,R2057,PRETAX,F01,1741.57,174.5,2026-06-30
PLN-R002,R2057,MATCH,F02,1141.57,114.5,2026-06-30
PLN-R002,R2058,PRETAX,F01,1754.58,175.5,2026-06-30
PLN-R002,R2058,MATCH,F02,1154.58,115.5,2026-06-30
PLN-R002,R2059,PRETAX,F01,1767.59,176.5,2026-06-30
PLN-R002,R2059,MATCH,F02,1167.59,116.5,2026-06-30
PLN-R002,R2060,PRETAX,F01,1780.60,178.5,2026-06-30
PLN-R002,R2060,MATCH,F02,1180.60,118.5,2026-06-30
