plan_id,participant_id,loan_id,payment_date,principal,interest
PLN-SEED-EB,P0033,L3,2023-12-01,138.09,9.51
PLN-SEED-EB,P0033,L3,2024-01-01,138.55,9.05
PLN-SEED-EB,P0033,L3,2024-02-01,139.02,8.58
PLN-SEED-EB,P0033,L3,2024-03-01,139.48,8.12
PLN-SEED-EB,P0033,L3,2024-04-01,139.94,7.66
PLN-SEED-EB,P0033,L3,2024-05-01,140.41,7.19
PLN-SEED-EB,P0033,L3,2024-06-01,140.88,6.72
PLN-SEED-EB,P0033,L3,2024-07-01,141.35,6.25
PLN-SEED-EB,P0033,L3,2024-08-01,141.82,5.78
PLN-SEED-EB,P0033,L3,2024-09-01,142.29,5.31
PLN-SEED-EB,P0033,L3,2024-10-01,142.77,4.83
PLN-SEED-EB,P0033,L3,2024-11-01,143.24,4.36
PLN-SEED-EB,P0033,L3,2024-12-01,143.72,3.88
PLN-SEED-EB,P0033,L3,2025-01-01,144.20,3.40
PLN-SEED-EB,P0047,L4,2025-04-10,216.22,71.88
PLN-SEED-EB,P0047,L4,2025-05-10,217.26,70.84
PLN-SEED-EB,P0047,L4,2025-06-10,218.30,69.80
PLN-SEED-EB,P0047,L4,2025-07-10,219.35,68.75
PLN-SEED-EB,P0047,L4,2025-08-10,220.40,67.70
PLN-SEED-EB,P0047,L4,2025-09-10,221.46,66.64
PLN-SEED-EB,P0047,L4,2025-10-10,222.52,65.58
PLN-SEED-EB,P0047,L4,2025-11-10,223.58,64.52
PLN-SEED-EB,P0047,L4,2025-12-10,224.65,63.45
PLN-SEED-EB,P0047,L4,2026-01-10,225.73,62.37
PLN-SEED-EB,P0047,L4,2026-02-10,226.81,61.29
PLN-SEED-EB,P0047,L4,2026-03-10,227.90,60.20
PLN-SEED-EB,P0071,L5,2023-12-20,122.62,27.08
PLN-SEED-EB,P0071,L5,2024-01-20,123.13,26.57
PLN-SEED-EB,P0071,L5,2024-02-20,123.64,26.06
PLN-SEED-EB,P0071,L5,2024-03-20,124.16,25.54
PLN-SEED-EB,P0071,L5,2024-04-20,124.67,25.03
PLN-SEED-EB,P0071,L5,2024-05-20,125.19,24.51
PLN-SEED-EB,P0071,L5,2024-06-20,125.71,23.99
PLN-SEED-EB,P0071,L5,2024-07-20,126.24,23.46
PLN-SEED-EB,P0071,L5,2024-08-20,126.76,22.94
PLN-SEED-EB,P0071,L5,2024-09-20,127.29,22.41
PLN-SEED-EB,P0071,L5,2024-10-20,127.82,21.88
PLN-SEED-EB,P0071,L5,2024-11-20,128.36,21.34
PLN-SEED-EB,P0071,L5,2024-12-20,128.89,20.81
PLN-SEED-EB,P0071,L5,2025-01-20,129.43,20.27
PLN-SEED-EB,P0071,L5,2025-02-20,129.97,19.73
PLN-SEED-EB,P0071,L5,2025-03-20,130.51,19.19
PLN-SEED-EB,P0071,L5,2025-04-20,131.05,18.65
PLN-SEED-EB,P0071,L5,2025-05-20,131.60,18.10
PLN-SEED-EB,P0071,L5,2025-06-20,132.15,17.55
PLN-SEED-EB,P0071,L5,2025-07-20,132.70,17.00
PLN-SEED-EB,P0099,L6,2024-07-05,132.84,27.71
PLN-SEED-EB,P0099,L6,2024-08-05,133.37,27.18
PLN-SEED-EB,P0099,L6,2024-09-05,133.90,26.65
PLN-SEED-EB,P0099,L6,2024-10-05,134.43,26.12
PLN-SEED-EB,P0099,L6,2024-11-05,134.96,25.59
PLN-SEED-EB,P0099,L6,2024-12-05,135.49,25.06
PLN-SEED-EB,P0099,L6,2025-01-05,136.03,24.52
PLN-SEED-EB,P0099,L6,2025-02-05,136.57,23.98
PLN-SEED-EB,P0099,L6,2025-03-05,137.11,23.44
PLN-SEED-EB,P0099,L6,2025-04-05,137.65,22.90
PLN-SEED-EB,P0099,L6,2025-05-05,138.19,22.36
PLN-SEED-EB,P0099,L6,2025-06-05,138.74,21.81
PLN-SEED-EB,P0099,L6,2025-07-05,139.29,21.26
PLN-SEED-EB,P0099,L6,2025-08-05,139.84,20.71
PLN-SEED-EB,P0099,L6,2025-09-05,140.40,20.15
