plan_id,participant_id,money_type_code,period,amount,payroll_date
PLN-R001,R1045,PRETAX,2026-06,95.00,2026-06-15
PLN-R001,R1046,PRETAX,2026-06,96.00,2026-06-15
PLN-R001,R1047,PRETAX,2026-06,97.00,2026-06-15
PLN-R001,R1048,PRETAX,2026-06,98.00,2026-06-15
PLN-R001,R1049,PRETAX,2026-06,99.00,2026-06-15
PLN-R001,R1050,PRETAX,2026-06,100.00,2026-06-15
PLN-R001,R1051,PRETAX,2026-06,101.00,2026-06-15
PLN-R001,R1052,PRETAX,2026-06,102.00,2026-06-15
PLN-R001,R1053,PRETAX,2026-06,103.00,2026-06-15
PLN-R001,R1054,PRETAX,2026-06,104.00,2026-06-15
PLN-R001,R1055,PRETAX,2026-06,105.00,2026-06-15
PLN-R001,R1056,PRETAX,2026-06,106.00,2026-06-15
PLN-R001,R1057,PRETAX,2026-06,107.00,2026-06-15
PLN-R001,R1058,PRETAX,2026-06,108.00,2026-06-15
PLN-R001,R1059,PRETAX,2026-06,109.00,2026-06-15
PLN-R001,R1060,PRETAX,2026-06,110.00,2026-06-15
PLN-R002,R2001,PRETAX,2026-06,51.00,2026-06-15
PLN-R002,R2002,PRETAX,2026-06,52.00,2026-06-15
PLN-R002,R2003,PRETAX,2026-06,53.00,2026-06-15
PLN-R002,R2004,PRETAX,2026-06,54.00,2026-06-15
PLN-R002,R2005,PRETAX,2026-06,55.00,2026-06-15
PLN-R002,R2006,PRETAX,2026-06,56.00,2026-06-15
PLN-R002,R2007,PRETAX,2026-06,57.00,2026-06-15
PLN-R002,R2008,PRETAX,2026-06,58.00,2026-06-15
PLN-R002,R2009,PRETAX,2026-06,59.00,2026-06-15
PLN-R002,R2010,PRETAX,2026-06,60.00,2026-06-15
PLN-R002,R2011,PRETAX,2026-06,61.00,2026-06-15
PLN-R002,R2012,PRETAX,2026-06,62.00,2026-06-15
PLN-R002,R2013,PRETAX,2026-06,63.00,2026-06-15
PLN-R002,R2014,PRETAX,2026-06,64.00,2026-06-15
PLN-R002,R2015,PRETAX,2026-06,65.00,2026-06-15
PLN-R002,R2016,PRETAX,2026-06,66.00,2026-06-15
PLN-R002,R2017,PRETAX,2026-06,67.00,2026-06-15
PLN-R002,R2018,PRETAX,2026-06,68.00,2026-06-15
PLN-R002,R2019,PRETAX,2026-06,69.00,2026-06-15
PLN-R002,R2020,PRETAX,2026-06,70.00,2026-06-15
PLN-R002,R2021,PRETAX,2026-06,71.00,2026-06-15
PLN-R002,R2022,PRETAX,2026-06,72.00,2026-06-15
PLN-R002,R2023,PRETAX,2026-06,73.00,2026-06-15
PLN-R002,R2024,PRETAX,2026-06,74.00,2026-06-15
PLN-R002,R2025,PRETAX,2026-06,75.00,2026-06-15
PLN-R002,R2026,PRETAX,2026-06,76.00,2026-06-15
PLN-R002,R2027,PRETAX,2026-06,77.00,2026-06-15
PLN-R002,R2028,PRETAX,2026-06,78.00,2026-06-15
PLN-R002,R2029,PRETAX,2026-06,79.00,2026-06-15
PLN-R002,R2030,PRETAX,2026-06,80.00,2026-06-15
PLN-R002,R2031,PRETAX,2026-06,81.00,2026-06-15
PLN-R002,R2032,PRETAX,2026-06,82.00,2026-06-15
PLN-R002,R2033,PRETAX,2026-06,83.00,2026-06-15
PLN-R002,R2034,PRETAX,2026-06,84.00,2026-06-15
PLN-R002,R2035,PRETAX,2026-06,85.00,2026-06-15
PLN-R002,R2036,PRETAX,2026-06,86.00,2026-06-15
PLN-R002,R2037,PRETAX,2026-06,87.00,2026-06-15
PLN-R002,R2038,PRETAX,2026-06,88.00,2026-06-15
PLN-R002,R2039,PRETAX,2026-06,89.00,2026-06-15
PLN-R002,R2040,PRETAX,2026-06,90.00,2026-06-15
PLN-R002,R2041,PRETAX,2026-06,91.00,2026-06-15
PLN-R002,R2042,PRETAX,2026-06,92.00,2026-06-15
PLN-R002,R2043,PRETAX,2026-06,93.00,2026-06-15
PLN-R002,R2044,PRETAX,2026-06,94.00,2026-06-15
PLN-R002,R2045,PRETAX,2026-06,95.00,2026-06-15
PLN-R002,R2046,PRETAX,2026-06,96.00,2026-06-15
PLN-R002,R2047,PRETAX,2026-06,97.00,2026-06-15
PLN-R002,R2048,PRETAX,2026-06,98.00,2026-06-15
PLN-R002,R2049,PRETAX,2026-06,99.00,2026-06-15
PLN-R002,R2050,PRETAX,2026-06,100.00,2026-06-15
PLN-R002,R2051,PRETAX,2026-06,101.00,2026-06-15
PLN-R002,R2052,PRETAX,2026-06,102.00,2026-06-15
PLN-R002,R2053,PRETAX,2026-06,103.00,2026-06-15
PLN-R002,R2054,PRETAX,2026-06,104.00,2026-06-15
PLN-R002,R2055,PRETAX,2026-06,105.00,2026-06-15
PLN-R002,R2056,PRETAX,2026-06,106.00,2026-06-15
PLN-R002,R2057,PRETAX,2026-06,107.00,2026-06-15
PLN-R002,R2058,PRETAX,2026-06,108.00,2026-06-15
PLN-R002,R2059,PRETAX,2026-06,109.00,2026-06-15
PLN-R002,R2060,PRETAX,2026-06,110.00,2026-06-15
